,Category,Subject,Link
21,Art,ARTH 72,https://libguides.sjsu.edu/ARTH72
22,Art,Ceramics,https://libguides.sjsu.edu/Ceramics
23,Art,Graphic Novels,https://libguides.sjsu.edu/GraphicNovels
24,Art,New Media,https://libguides.sjsu.edu/NewMedia
25,Art,Photography,https://libguides.sjsu.edu/Photography
26,Art,Portraiture,https://libguides.sjsu.edu/portraiture
27,Asian American Studies,Asian American Studies,https://libguides.sjsu.edu/asianam
28,Aviation & Technology,Advanced Google,https://libguides.sjsu.edu/google
29,Aviation & Technology,Aviation & Technology,https://libguides.sjsu.edu/aviation_technology
30,Aviation & Technology,College of Engineering,https://libguides.sjsu.edu/coe
31,Aviation & Technology,Database Search Strategies and More,https://libguides.sjsu.edu/search_strategies
32,Aviation & Technology,Engineering 100W,https://libguides.sjsu.edu/engr100W
33,Aviation & Technology,Engineering 200W,https://libguides.sjsu.edu/engr200W
34,Aviation & Technology,Reading a Technical Paper,https://libguides.sjsu.edu/reading_a_teachnical_paper
35,Aviation & Technology,Tech 198,https://libguides.sjsu.edu/tech198
36,Biological Sciences,BIOL 30: Principles of Biology,https://libguides.sjsu.edu/BIOL30
37,Biological Sciences,Biological Sciences,https://libguides.sjsu.edu/biology
38,Biological Sciences,BioTech: the SJSU Masters in BioTechnology Program,https://libguides.sjsu.edu/biotech
39,Biomedical Engineering,Advanced Google,https://libguides.sjsu.edu/google
40,Biomedical Engineering,Biomedical Engineering,https://libguides.sjsu.edu/biomed_eng
41,Biomedical Engineering,College of Engineering,https://libguides.sjsu.edu/coe
42,Biomedical Engineering,Database Search Strategies and More,https://libguides.sjsu.edu/search_strategies
43,Biomedical Engineering,Engineering 100W,https://libguides.sjsu.edu/engr100W
44,Biomedical Engineering,Engineering 200W,https://libguides.sjsu.edu/engr200W
45,Biomedical Engineering,Reading a Technical Paper,https://libguides.sjsu.edu/reading_a_teachnical_paper
46,Business,Accounting & Finance,https://libguides.sjsu.edu/accounting
47,Business,BioTech: the SJSU Masters in BioTechnology Program,https://libguides.sjsu.edu/biotech
48,Business,BUS2 134B: Integrated Marketing Communication,https://libguides.sjsu.edu/Bus134b
49,Business,BUS3 189: Strategic Management,https://libguides.sjsu.edu/BUS3-189
50,Business,BUS5 140: Fundamentals of Operations Management,https://libguides.sjsu.edu/bus140
51,Business,BUS5 147: Service Operations Management,https://libguides.sjsu.edu/bus147
